location,date,vaccine,total_vaccinations
Chile,01/02/2021,Pfizer/BioNTech,67449
Chile,02/02/2021,Pfizer/BioNTech,67455
Chile,02/02/2021,Sinovac,13185
Chile,03/02/2021,Pfizer/BioNTech,67455
Chile,03/02/2021,Sinovac,183568
Chile,04/02/2021,Pfizer/BioNTech,69583
Chile,04/02/2021,Sinovac,357591
Chile,05/02/2021,Pfizer/BioNTech,70271
Chile,05/02/2021,Sinovac,526406
Chile,06/02/2021,Pfizer/BioNTech,70276
Chile,06/02/2021,Sinovac,554258
Chile,07/02/2021,Pfizer/BioNTech,70278
Chile,07/02/2021,Sinovac,562896
Chile,08/02/2021,Pfizer/BioNTech,82078
Chile,08/02/2021,Sinovac,784393
Chile,09/02/2021,Pfizer/BioNTech,101558
Chile,09/02/2021,Sinovac,1026804
Chile,10/02/2021,Pfizer/BioNTech,110003
Chile,10/02/2021,Sinovac,1299153
Chile,11/02/2021,Pfizer/BioNTech,113076
Chile,11/02/2021,Sinovac,1550373
Chile,12/02/2021,Pfizer/BioNTech,113436
Chile,12/02/2021,Sinovac,1779504
Chile,13/02/2021,Pfizer/BioNTech,113469
Chile,13/02/2021,Sinovac,1809028
Chile,14/02/2021,Pfizer/BioNTech,113469
Chile,14/02/2021,Sinovac,1813496
Chile,15/02/2021,Pfizer/BioNTech,113470
Chile,15/02/2021,Sinovac,2079368
Chile,16/02/2021,Pfizer/BioNTech,113482
Chile,16/02/2021,Sinovac,2299443
Chile,17/02/2021,Pfizer/BioNTech,113482
Chile,17/02/2021,Sinovac,2487496
Chile,18/02/2021,Pfizer/BioNTech,113485
Chile,18/02/2021,Sinovac,2642771
Chile,19/02/2021,Pfizer/BioNTech,113485
Chile,19/02/2021,Sinovac,2784905
Chile,20/02/2021,Pfizer/BioNTech,113487
Chile,20/02/2021,Sinovac,2794545
Chile,21/02/2021,Pfizer/BioNTech,113487
Chile,21/02/2021,Sinovac,2795707
Chile,22/02/2021,Pfizer/BioNTech,125580
Chile,22/02/2021,Sinovac,2891747
Chile,23/02/2021,Pfizer/BioNTech,150424
Chile,23/02/2021,Sinovac,2961147
Chile,24/02/2021,Pfizer/BioNTech,178943
Chile,24/02/2021,Sinovac,3018905
Chile,25/02/2021,Pfizer/BioNTech,212661
Chile,25/02/2021,Sinovac,3071270
Chile,26/02/2021,Pfizer/BioNTech,242392
Chile,26/02/2021,Sinovac,3119938
Chile,27/02/2021,Pfizer/BioNTech,248717
Chile,27/02/2021,Sinovac,3123660
Chile,28/02/2021,Pfizer/BioNTech,248719
Chile,28/02/2021,Sinovac,3124013
Chile,01/03/2021,Pfizer/BioNTech,263623
Chile,01/03/2021,Sinovac,3246673
Chile,02/03/2021,Pfizer/BioNTech,294546
Chile,02/03/2021,Sinovac,3387132
Chile,03/03/2021,Pfizer/BioNTech,313113
Chile,03/03/2021,Sinovac,3680524
Chile,04/03/2021,Pfizer/BioNTech,322223
Chile,04/03/2021,Sinovac,3982036
Chile,05/03/2021,Pfizer/BioNTech,327979
Chile,05/03/2021,Sinovac,4274241
Chile,06/03/2021,Pfizer/BioNTech,328323
Chile,06/03/2021,Sinovac,4307684
Chile,07/03/2021,Pfizer/BioNTech,328430
Chile,07/03/2021,Sinovac,4315543
Chile,08/03/2021,Pfizer/BioNTech,341027
Chile,08/03/2021,Sinovac,4653663
Chile,09/03/2021,Pfizer/BioNTech,378610
Chile,09/03/2021,Sinovac,4992696
Chile,10/03/2021,Pfizer/BioNTech,420223
Chile,10/03/2021,Sinovac,5352507
Chile,11/03/2021,Pfizer/BioNTech,465965
Chile,11/03/2021,Sinovac,5723912
Chile,12/03/2021,Pfizer/BioNTech,483379
Chile,12/03/2021,Sinovac,6080963
Chile,13/03/2021,Pfizer/BioNTech,483932
Chile,13/03/2021,Sinovac,6130874
Chile,14/03/2021,Pfizer/BioNTech,483932
Chile,14/03/2021,Sinovac,6137462
